1685577600000,636.00000000,638.00000000,626.00000000,632.00000000,528.76790000,1685606399999,333756.58100000,1624,251.40720000,158652.20720000,0
1685606400000,631.00000000,640.00000000,630.00000000,639.00000000,428.33010000,1685635199999,272285.80550000,1071,262.02540000,166496.30320000,0
1685635200000,639.00000000,644.00000000,638.00000000,641.00000000,275.76410000,1685663999999,176890.98220000,1008,133.21790000,85450.33890000,0
1685664000000,642.00000000,663.00000000,636.00000000,661.00000000,769.54660000,1685692799999,501835.93630000,2242,462.62580000,301350.33560000,0
1685692800000,661.00000000,671.00000000,659.00000000,667.00000000,1114.15130000,1685721599999,741686.71150000,3061,537.67080000,358025.13660000,0
1685721600000,667.00000000,670.00000000,661.00000000,662.00000000,630.69050000,1685750399999,419225.69270000,1674,212.38410000,141355.73130000,0
1685750400000,662.00000000,666.00000000,657.00000000,665.00000000,365.59570000,1685779199999,241624.52150000,1355,212.64970000,140692.53350000,0
1685779200000,666.00000000,676.00000000,666.00000000,676.00000000,658.26230000,1685807999999,441763.49000000,1944,288.04820000,193354.82860000,0
1685808000000,676.00000000,677.00000000,671.00000000,675.00000000,541.74860000,1685836799999,365064.88450000,1202,237.51150000,160073.79340000,0
1685836800000,675.00000000,687.00000000,668.00000000,687.00000000,773.28630000,1685865599999,524070.53970000,1836,423.10480000,287167.08840000,0
1685865600000,686.00000000,707.00000000,686.00000000,695.00000000,3289.42980000,1685894399999,2295223.67070000,7786,1507.99410000,1052266.94470000,0
1685894400000,695.00000000,696.00000000,681.00000000,683.00000000,471.16990000,1685923199999,325083.49900000,2154,163.93290000,113111.24110000,0
1685923200000,683.00000000,689.00000000,672.00000000,689.00000000,921.42520000,1685951999999,627005.42580000,3001,452.90700000,308699.14970000,0
1685952000000,690.00000000,691.00000000,650.00000000,651.00000000,2018.99030000,1685980799999,1366385.42320000,6650,707.54460000,478574.12060000,0
1685980800000,651.00000000,659.00000000,631.00000000,649.00000000,3307.14050000,1686009599999,2143008.13390000,10497,1458.41880000,945078.56060000,0
1686009600000,649.00000000,650.00000000,633.00000000,637.00000000,816.99190000,1686038399999,522521.56660000,2735,328.77890000,210206.31980000,0
1686038400000,638.00000000,651.00000000,634.00000000,641.00000000,1417.41350000,1686067199999,908918.86950000,4665,799.51460000,512663.79670000,0
1686067200000,641.00000000,657.00000000,638.00000000,650.00000000,779.83680000,1686095999999,505551.92680000,3301,427.66340000,277374.20410000,0
1686096000000,649.00000000,649.00000000,635.00000000,637.00000000,924.69500000,1686124799999,593702.44530000,1806,460.92250000,296409.38010000,0
1686124800000,637.00000000,639.00000000,617.00000000,618.00000000,1081.14700000,1686153599999,676552.80630000,3854,450.26050000,281714.47500000,0
1686153600000,618.00000000,625.00000000,616.00000000,623.00000000,633.97420000,1686182399999,393407.50540000,2096,325.45750000,201939.07130000,0
1686182400000,623.00000000,628.00000000,617.00000000,623.00000000,613.81460000,1686211199999,382076.27360000,2255,285.78320000,177898.79320000,0
1686211200000,624.00000000,634.00000000,622.00000000,629.00000000,587.22820000,1686239999999,370098.03340000,2156,335.44490000,211458.63050000,0
1686240000000,629.00000000,629.00000000,622.00000000,624.00000000,351.55320000,1686268799999,220174.08020000,1195,161.07110000,100956.77900000,0
1686268800000,625.00000000,628.00000000,617.00000000,622.00000000,651.85300000,1686297599999,406082.28940000,1867,285.23690000,177825.56890000,0
1686297600000,623.00000000,636.00000000,621.00000000,628.00000000,680.39990000,1686326399999,428527.80540000,1870,340.16720000,214200.79190000,0
1686326400000,628.00000000,630.00000000,621.00000000,628.00000000,750.15080000,1686355199999,469205.08140000,1852,389.51360000,243676.64940000,0
1686355200000,628.00000000,629.00000000,511.00000000,581.00000000,10980.42010000,1686383999999,6270675.04980000,31015,3804.70190000,2171205.55830000,0
1686384000000,581.00000000,610.00000000,579.00000000,599.00000000,2522.49990000,1686412799999,1497221.13170000,8262,1108.17380000,657293.02880000,0
1686412800000,599.00000000,649.00000000,597.00000000,630.00000000,4499.34940000,1686441599999,2820273.63250000,18591,2292.11760000,1437092.71080000,0
1686441600000,629.00000000,630.00000000,598.00000000,601.00000000,2357.16770000,1686470399999,1430984.48440000,7199,915.58850000,557254.19880000,0
1686470400000,601.00000000,610.00000000,591.00000000,600.00000000,1157.10640000,1686499199999,693709.04010000,3851,528.78900000,316843.12410000,0
1686499200000,600.00000000,626.00000000,599.00000000,617.00000000,1542.10760000,1686527999999,948708.20180000,6957,720.57290000,443160.95120000,0
1686528000000,618.00000000,624.00000000,604.00000000,610.00000000,1008.31830000,1686556799999,620641.72840000,4440,451.01260000,277666.44460000,0
1686556800000,609.00000000,628.00000000,608.00000000,622.00000000,1236.09740000,1686585599999,765217.81740000,4090,718.11950000,444487.57280000,0
1686585600000,623.00000000,630.00000000,619.00000000,628.00000000,720.61000000,1686614399999,450341.53690000,2924,406.33070000,254021.72700000,0
1686614400000,628.00000000,641.00000000,627.00000000,637.00000000,975.56140000,1686643199999,617168.88540000,3276,555.00760000,351250.50710000,0
1686643200000,638.00000000,646.00000000,630.00000000,634.00000000,2569.81360000,1686671999999,1642203.65260000,7330,1269.04880000,811279.04100000,0
1686672000000,634.00000000,641.00000000,627.00000000,635.00000000,3960.08660000,1686700799999,2509122.83140000,8231,1846.76410000,1168671.46350000,0
1686700800000,635.00000000,651.00000000,633.00000000,637.00000000,2161.09930000,1686729599999,1387599.72230000,5172,1122.92350000,720333.43170000,0
1686729600000,636.00000000,660.00000000,636.00000000,655.00000000,2484.59680000,1686758399999,1621142.71450000,6983,1287.13440000,839451.58320000,0
