open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1686585600000,230.980,234.400,227.050,231.230,1313282.42,1686614399999,302854521.83492,443188,663061.76,152957270.73608,0
1686614400000,231.230,235.850,228.430,235.050,1055066.38,1686643199999,245775081.56881,359779,538174.57,125366793.83684,0
1686643200000,235.050,248.500,234.200,234.860,2709436.97,1686671999999,651089168.48069,890357,1359826.82,326924941.34411,0
1686672000000,234.850,245.000,234.110,243.920,1311271.20,1686700799999,314252399.81476,448438,677007.92,162319762.48758,0
1686700800000,243.920,252.970,243.230,246.760,2183731.32,1686729599999,542819437.62663,709470,1100866.77,273659524.65181,0
1686729600000,246.760,249.750,243.660,246.020,1127053.04,1686758399999,278694421.17920,398535,566433.43,140101742.58040,0
1686758400000,246.020,247.990,232.320,237.780,1923725.14,1686787199999,463095620.57039,660763,929388.96,223754263.58771,0
1686787200000,237.780,240.750,234.290,236.430,897033.12,1686815999999,212685001.44819,329301,440675.30,104494262.99118,0
1686816000000,236.420,237.750,230.300,232.590,1183828.80,1686844799999,276877101.95964,400989,590059.24,138017661.95630,0
1686844800000,232.590,238.970,231.100,236.330,968627.29,1686873599999,227903107.03491,360891,489185.08,115104609.48261,0
1686873600000,236.340,239.630,234.710,239.230,544297.39,1686902399999,129424158.91968,198721,267491.09,63604252.37648,0
1686902400000,239.240,240.680,231.770,238.360,1466926.81,1686931199999,346119082.86106,478406,722348.34,170466837.85381,0
1686931200000,238.360,244.000,236.870,239.170,838917.96,1686959999999,201263662.96991,312993,430041.60,103179356.97523,0
1686960000000,239.160,249.820,237.120,246.570,1070284.71,1686988799999,261638676.94037,376039,541531.82,132341695.49667,0
1686988800000,246.580,247.530,242.600,243.120,679116.32,1687017599999,166581743.45385,244860,341608.55,83815591.10520,0
1687017600000,243.120,246.540,242.250,244.440,371851.53,1687046399999,91021199.67632,156314,186884.06,45746880.71542,0
1687046400000,244.440,247.620,242.110,245.690,525684.86,1687075199999,128700022.71757,190524,262802.78,64357501.71372,0
1687075200000,245.700,248.770,245.510,247.040,674847.12,1687103999999,166669588.25370,217678,333039.08,82253610.49450,0
1687104000000,247.050,247.770,242.520,244.010,504026.32,1687132799999,123375886.13245,179102,251139.62,61476668.70220,0
1687132800000,244.010,244.660,241.090,243.360,401361.65,1687161599999,97622007.77040,153014,195388.05,47525850.86940,0
1687161600000,243.360,243.900,240.270,241.320,574507.64,1687190399999,139236224.73190,190591,280931.52,68084725.73430,0
1687190400000,241.330,245.250,237.350,243.020,888885.22,1687219199999,214731829.45593,319545,440379.92,106387322.93325,0
1687219200000,243.030,245.100,240.430,241.270,463126.37,1687247999999,112433747.48210,171962,225339.99,54708545.11870,0
1687248000000,241.270,241.970,238.400,240.230,587363.90,1687276799999,141086318.63238,212633,289077.73,69434867.35960,0
1687276800000,240.230,248.260,239.750,247.930,1028389.46,1687305599999,250579491.11997,362068,528068.59,128707066.66057,0
1687305600000,247.940,254.950,247.080,249.480,1086868.61,1687334399999,272559730.82354,380013,539538.47,135328027.25425,0
1687334400000,249.490,250.950,245.150,249.470,1056693.48,1687363199999,261724017.52651,365651,524445.70,129912304.46689,0
1687363200000,249.470,253.790,247.290,248.940,1055344.01,1687391999999,263934075.55485,382688,508042.74,127067399.22416,0
1687392000000,248.940,257.190,248.730,252.570,996953.32,1687420799999,252209060.55905,358267,504453.22,127619962.13359,0
1687420800000,252.580,253.900,241.010,243.790,1372173.66,1687449599999,339776480.39307,446260,649225.54,160798339.12709,0
1687449600000,243.780,245.490,239.240,240.910,649155.58,1687478399999,157675076.12688,226999,313651.54,76200162.67760,0
1687478400000,240.920,244.400,239.710,243.610,484781.49,1687507199999,117428368.85785,173452,246638.33,59745974.05515,0
1687507200000,243.620,248.750,241.060,247.800,906312.93,1687535999999,221264831.76522,324472,441319.37,107753901.33222,0
1687536000000,247.790,250.000,243.300,244.530,881832.77,1687564799999,216999657.88071,317569,424712.64,104530467.01059,0
1687564800000,244.530,248.820,243.300,245.520,653534.24,1687593599999,160848605.50790,219078,319629.68,78660891.55800,0
1687593600000,245.520,246.730,229.000,232.860,1150140.44,1687622399999,275700149.90923,379706,527101.79,126434169.56801,0
1687622400000,232.860,237.460,230.080,236.330,808640.50,1687651199999,189600475.75811,282719,411482.38,96478754.85731,0
1687651200000,236.330,241.760,234.950,240.890,744293.99,1687679999999,177676842.48678,282702,378900.38,90474664.86078,0
1687680000000,240.890,242.280,237.240,239.510,702780.31,1687708799999,168372549.40620,278605,348277.25,83451565.63070,0
1687708800000,239.510,240.220,236.510,238.970,426212.53,1687737599999,101586069.38010,169719,207067.55,49356958.31550,0
1687737600000,238.960,239.550,233.610,237.740,723533.70,1687766399999,171077142.74211,271702,350707.46,82936065.82230,0
1687766400000,237.740,241.500,235.730,238.630,666460.73,1687795199999,159017489.13628,253096,330716.34,78907514.75888,0
1687795200000,238.620,238.920,233.620,236.150,581269.86,1687823999999,137004267.74321,222460,282517.71,66583996.12530,0
1687824000000,236.160,239.170,234.540,238.770,389279.51,1687852799999,92360479.27010,158134,195880.86,46467920.39850,0
