open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1686124800000,116.020000,116.750000,111.630000,111.820000,47133.9,1686153599999,5420007.9180000,35780,22808.7,2624222.6280000,0
1686153600000,111.810000,114.000000,110.520000,111.910000,41861.6,1686182399999,4700255.9430000,31215,21124.6,2371881.6980000,0
1686182400000,111.910000,112.440000,110.030000,111.800000,18950.9,1686211199999,2107481.9280000,18669,9447.6,1050536.7600000,0
1686211200000,111.840000,113.220000,110.470000,112.690000,30633.2,1686239999999,3422940.8280000,23625,15697.8,1753858.4230000,0
1686240000000,112.700000,113.010000,110.590000,110.690000,19065.4,1686268799999,2123514.1370000,18219,8345.1,929223.3760000,0
1686268800000,110.690000,110.870000,108.860000,109.280000,22708.3,1686297599999,2492111.5960000,24046,11092.5,1217412.0830000,0
1686297600000,109.250000,110.090000,107.970000,108.040000,20873.0,1686326399999,2280979.7290000,19711,9771.1,1068078.3710000,0
1686326400000,108.040000,108.660000,106.580000,107.270000,23354.7,1686355199999,2514492.3140000,19703,10367.6,1116215.4150000,0
1686355200000,107.270000,107.390000,94.250000,100.640000,126588.1,1686383999999,12734865.4060000,69335,61678.3,6207247.0660000,0
1686384000000,100.660000,104.290000,100.340000,101.100000,69948.1,1686412799999,7172110.7260000,46173,35817.5,3672593.8410000,0
1686412800000,101.090000,105.640000,101.050000,103.030000,86219.9,1686441599999,8916601.6040000,50975,44191.7,4570208.3250000,0
1686441600000,103.040000,103.970000,101.910000,103.290000,31748.2,1686470399999,3271808.5610000,25022,16418.7,1691883.2860000,0
1686470400000,103.300000,103.990000,100.520000,101.150000,35493.6,1686499199999,3610698.9010000,28863,17208.6,1750950.8220000,0
1686499200000,101.160000,103.500000,101.150000,102.480000,32827.7,1686527999999,3360969.8320000,23134,17301.9,1771192.8230000,0
1686528000000,102.450000,103.290000,99.570000,100.050000,33752.2,1686556799999,3422564.5290000,27046,16712.3,1694616.3360000,0
1686556800000,100.050000,101.270000,99.640000,100.290000,27005.3,1686585599999,2711329.0090000,23358,13935.9,1399205.6040000,0
1686585600000,100.290000,100.690000,98.910000,99.960000,24555.5,1686614399999,2450830.1330000,18583,11222.2,1120117.7320000,0
1686614400000,99.960000,100.790000,97.000000,100.520000,61268.0,1686643199999,6041667.9360000,40602,30569.1,3013590.6410000,0
1686643200000,100.530000,102.900000,96.580000,96.960000,81723.5,1686671999999,8176964.9110000,48481,39412.9,3941225.2530000,0
1686672000000,96.950000,100.420000,96.790000,100.410000,45236.1,1686700799999,4441031.7310000,29269,22885.5,2245857.2180000,0
1686700800000,100.420000,101.000000,98.510000,98.730000,26041.2,1686729599999,2605866.2720000,18438,12421.5,1242853.3020000,0
1686729600000,98.740000,101.130000,98.610000,100.900000,22410.1,1686758399999,2247514.4060000,15530,12265.1,1229630.6090000,0
1686758400000,100.900000,102.100000,96.180000,98.730000,63044.4,1686787199999,6249944.0850000,38771,31004.5,3076212.5770000,0
1686787200000,98.720000,99.550000,96.770000,97.390000,26550.2,1686815999999,2605369.9980000,21002,13170.0,1292195.6380000,0
1686816000000,97.410000,99.190000,96.570000,98.630000,28510.7,1686844799999,2789521.4300000,24827,14222.1,1391920.5160000,0
1686844800000,98.620000,99.760000,97.110000,97.690000,30875.9,1686873599999,3033885.4900000,28017,15587.0,1530784.1920000,0
1686873600000,97.690000,97.730000,95.680000,96.340000,29085.5,1686902399999,2811099.9780000,24025,14151.6,1367776.5270000,0
1686902400000,96.320000,108.480000,95.790000,107.670000,312471.9,1686931199999,32628742.8130000,179155,165160.8,17245687.8840000,0
1686931200000,107.660000,117.000000,107.350000,112.010000,684860.9,1686959999999,77689713.4350000,340450,357029.0,40500552.2650000,0
1686960000000,112.010000,116.900000,111.450000,113.300000,449918.3,1686988799999,51182323.0980000,239944,239095.8,27198100.2470000,0
1686988800000,113.300000,114.340000,109.010000,109.020000,296073.0,1687017599999,33233362.9700000,169666,153445.3,17230898.1700000,0
1687017600000,109.020000,109.030000,104.200000,104.610000,359396.4,1687046399999,38163095.0080000,172294,179698.7,19082371.5790000,0
1687046400000,104.600000,104.670000,101.760000,102.240000,196182.3,1687075199999,20246436.8220000,101913,95451.4,9852512.2930000,0
1687075200000,102.250000,103.820000,100.650000,101.990000,196054.9,1687103999999,19944672.0230000,110643,99178.5,10092107.2710000,0
1687104000000,101.970000,102.190000,99.000000,100.540000,104286.1,1687132799999,10518778.1810000,67548,49408.1,4985276.9050000,0
1687132800000,100.530000,100.560000,98.500000,99.330000,68730.7,1687161599999,6838257.4170000,51450,32680.2,3252316.0090000,0
1687161600000,99.340000,100.990000,98.990000,99.920000,63312.5,1687190399999,6324829.4740000,45331,32541.0,3251311.4160000,0
1687190400000,99.920000,100.290000,98.340000,99.650000,78047.2,1687219199999,7769481.9340000,51936,37692.2,3752606.6580000,0
1687219200000,99.660000,100.040000,99.120000,99.830000,46116.1,1687247999999,4596968.8020000,32841,23880.0,2380839.7820000,0
1687248000000,99.830000,100.290000,99.050000,99.070000,58286.6,1687276799999,5819506.4080000,41244,30052.3,3001245.6740000,0
1687276800000,99.070000,100.610000,98.370000,99.920000,90555.0,1687305599999,9029486.4980000,57723,43630.5,4351639.0710000,0
1687305600000,99.930000,102.060000,99.520000,99.920000,108731.7,1687334399999,10967822.8100000,60831,51710.3,5217804.1330000,0
1687334400000,99.930000,104.280000,98.690000,103.070000,133941.3,1687363199999,13566027.5800000,66342,62192.9,6300673.3350000,0
1687363200000,103.080000,105.790000,100.860000,104.810000,104666.4,1687391999999,10846379.1330000,60294,46942.6,4865399.8420000,0
1687392000000,104.810000,107.640000,104.150000,105.540000,74394.4,1687420799999,7879070.2420000,45739,36055.0,3818491.7040000,0
1687420800000,105.550000,105.930000,101.300000,102.290000,81284.1,1687449599999,8407728.0170000,55820,39890.0,4125474.3220000,0
1687449600000,102.300000,103.170000,100.850000,101.220000,40470.5,1687478399999,4124914.0530000,35818,18547.2,1890918.0120000,0
1687478400000,101.220000,102.960000,101.200000,102.880000,28184.3,1687507199999,2878071.7130000,23558,14739.7,1505612.9590000,0
1687507200000,102.870000,105.560000,102.290000,105.550000,63626.1,1687535999999,6603552.5990000,33868,30568.8,3173563.7260000,0
1687536000000,105.550000,106.760000,104.050000,105.770000,57971.8,1687564799999,6123105.3700000,38914,27863.6,2942847.5460000,0
1687564800000,105.780000,106.740000,104.620000,105.030000,33369.3,1687593599999,3525952.5570000,25573,15866.8,1677181.7560000,0
1687593600000,105.030000,106.800000,103.000000,103.600000,42398.7,1687622399999,4446959.3220000,28202,20131.8,2113360.8580000,0
1687622400000,103.630000,104.780000,102.480000,104.340000,34951.6,1687651199999,3633249.6450000,26381,17484.4,1817834.3100000,0
1687651200000,104.340000,108.830000,104.340000,107.590000,40587.7,1687679999999,4332549.6490000,30087,19130.5,2041777.6480000,0
1687680000000,107.550000,108.050000,105.580000,105.940000,29371.9,1687708799999,3130615.4630000,21056,14142.7,1507324.4430000,0
1687708800000,105.930000,107.310000,104.760000,106.880000,34984.7,1687737599999,3719201.4620000,22529,17083.2,1816321.8600000,0
1687737600000,106.880000,107.030000,104.520000,105.780000,33866.1,1687766399999,3582791.0420000,24744,17022.5,1800649.2590000,0
1687766400000,105.790000,107.720000,105.300000,106.420000,31962.0,1687795199999,3403973.3000000,24551,15169.2,1615584.9860000,0
1687795200000,106.390000,107.990000,104.630000,105.950000,42355.5,1687823999999,4503825.4740000,29180,20976.4,2231467.5100000,0
1687824000000,105.950000,107.090000,105.270000,106.990000,17125.0,1687852799999,1821363.1050000,16595,8004.6,851649.0350000,0
1687852800000,107.000000,107.170000,105.110000,105.530000,34050.1,1687881599999,3611684.8050000,26830,16435.4,1743653.5820000,0
1687881600000,105.540000,107.390000,105.300000,107.160000,24427.2,1687910399999,2607201.7650000,23004,12180.5,1299836.9080000,0
1687910400000,107.150000,107.250000,104.140000,105.040000,26502.9,1687939199999,2802920.1130000,24324,12705.5,1343692.9750000,0
1687939200000,105.040000,106.270000,104.810000,105.810000,26203.3,1687967999999,2765443.4960000,22415,12655.2,1335710.3780000,0
1687968000000,105.820000,106.180000,100.680000,103.000000,42911.2,1687996799999,4426807.4340000,39586,19373.9,1999357.4580000,0
1687996800000,103.000000,105.930000,102.660000,105.740000,20614.8,1688025599999,2145748.0870000,21995,10134.0,1054715.0380000,0
1688025600000,105.750000,106.240000,104.420000,105.100000,30248.6,1688054399999,3192670.6470000,24836,15092.4,1593014.1450000,0
1688054400000,105.080000,106.920000,104.760000,106.050000,26912.8,1688083199999,2854342.4070000,21866,13816.6,1465723.6080000,0
1688083200000,106.050000,108.070000,105.300000,107.260000,35717.2,1688111999999,3818772.9480000,30156,18231.6,1949617.2460000,0
1688112000000,107.240000,109.800000,101.350000,106.200000,95229.2,1688140799999,10133009.0190000,64042,47897.5,5097374.6490000,0
1688140800000,106.200000,108.320000,105.500000,107.770000,45218.0,1688169599999,4847325.9110000,39127,21746.2,2331107.4780000,0
1688169600000,107.750000,109.990000,107.570000,109.920000,30922.2,1688198399999,3361970.0260000,32782,16242.2,1765899.9200000,0
1688198400000,109.930000,111.980000,109.120000,111.570000,31520.5,1688227199999,3484901.9530000,28549,14757.4,1631994.1540000,0
1688227200000,111.540000,112.280000,110.310000,111.520000,20180.2,1688255999999,2245851.1840000,20730,9709.1,1080488.3580000,0
1688256000000,111.540000,112.390000,109.680000,110.670000,32196.9,1688284799999,3575568.5560000,28068,16120.7,1790512.0390000,0
1688284800000,110.660000,112.400000,109.030000,109.840000,42980.3,1688313599999,4768750.1110000,38648,21208.6,2353904.6530000,0
1688313600000,109.840000,110.840000,108.630000,110.140000,21139.4,1688342399999,2318428.0120000,24408,10328.5,1132899.1060000,0
1688342400000,110.170000,112.080000,109.570000,111.150000,18596.0,1688371199999,2063120.4370000,21924,9356.4,1038245.1320000,0
1688371200000,111.150000,111.670000,108.390000,110.100000,30539.6,1688399999999,3351814.8710000,28870,14098.2,1547028.7430000,0
1688400000000,110.120000,110.300000,108.620000,109.820000,18524.0,1688428799999,2031928.6710000,18674,9558.4,1048422.9320000,0
1688428800000,109.760000,110.030000,108.660000,109.330000,20111.6,1688457599999,2200527.4310000,22607,10712.5,1171866.7520000,0
1688457600000,109.320000,109.850000,108.310000,109.110000,18308.9,1688486399999,1997966.6790000,21937,9447.0,1031105.5120000,0
1688486400000,109.110000,109.780000,106.890000,107.250000,22479.5,1688515199999,2431608.2640000,23421,10342.0,1119270.3170000,0
1688515200000,107.250000,108.550000,107.120000,108.180000,11325.7,1688543999999,1219782.5720000,14880,5640.8,607664.1620000,0
1688544000000,108.160000,108.180000,105.110000,105.610000,46893.3,1688572799999,4990910.8870000,45564,22792.0,2426699.9080000,0
1688572800000,105.610000,106.140000,104.530000,104.910000,23310.9,1688601599999,2451727.4610000,29285,10833.9,1139575.0880000,0
1688601600000,104.920000,107.100000,104.320000,105.480000,26676.6,1688630399999,2825687.2230000,26548,12650.4,1340012.2720000,0
1688630400000,105.480000,107.080000,102.520000,104.080000,51437.5,1688659199999,5385213.9490000,42017,24779.6,2593445.1790000,0
1688659200000,104.100000,104.530000,102.060000,102.150000,24535.8,1688687999999,2535229.4060000,24300,12640.6,1305555.2530000,0
1688688000000,102.140000,104.380000,101.480000,103.540000,24341.1,1688716799999,2511863.8300000,29565,12085.6,1247113.5120000,0
1688716800000,103.500000,104.290000,102.580000,103.680000,25795.2,1688745599999,2671064.1800000,27269,12034.0,1246019.6120000,0
